review_id,app_id,rating,comment,date,sentiment,comment_en
9841e963-5c66-4287-9b1a-0bd99ff2b29f,008,2,"có phí nghen các cô, các bác, các chú, các dì, các anh, các chị, các ba, các mẹ, các con, các cháu, các loại từ nhân xưng",2026-01-18 13:28:38,Negative,"There is a fee for aunts, uncles, uncles, aunts, brothers, sisters, fathers, mothers, children, grandchildren, all kinds of personal pronouns."
be4b9849-511e-4ac5-8bdd-064b2fadcdb5,008,1,phải nạp tiền mới học được nếu mà cho thòi2 hạn sd miễn phí 2 ngày mà sau đó tự tính phí mà k thông báo đừng trách t. r còn nó hok mới đến 1 đoạn đã premium alf sao?,2025-11-27 16:38:35,Negative,"You have to recharge to learn. If you give them a 2-day free usage period and then charge yourself without notice, don't blame me.r and it doesn't get to 1 section with premium alf?"
a4419f47-a855-4686-80fd-db675d42b574,008,1,trời má tưởng học free ai ngờ bắt nộp tiền tại ko có tiền hc trực tiếp nên mới học onl mà bắt đóng tiền nữa chứ tr muốn chửi ghê,2024-07-24 08:19:55,Negative,"Oh my gosh, I thought I could study for free, but I had to pay because I didn't have money to study directly, so I started studying online and had to pay, but I wanted to curse."
2e8217d1-349c-4a96-94c9-10aef9c1a777,008,1,"bắt buộc phải mua gói hội viên mới đc học tiếp, trải nghiệm học tệ, nhiều app miễn phí khác học ok hơn nhiều. mọi người nên cân nhắc trc khi tải. tôi xoá app đây.",2024-03-20 14:57:12,Negative,You have to buy a membership package to continue studying. The learning experience is bad. There are many other free apps that make learning much better.Everyone should consider before downloading.I will delete this app.
45e08c2f-83a2-49fa-9bb5-d449ad1d3ced,008,2,"tại sao không cho học tiếng anh gia đình mà cứ bắt mua hội viên trọn đời mà còn để thời gian không biến mất, không cho học là sao, ng ta đâu muốn mua hội viên trọn đời đâu mà cứ bắt buộc ng ta phải mua , có ai rảnh đâu mà mua,ai rảnh, lâu lâu vô học mà còn nhiều thời gian,ai rảnh mà đợi lâu thế đâu ,đã đợi vài ngày còn không hết thời gian,không muốn ng ta học à thì nói một câu,lúc chờ hết thời thì nó lại quay lại từ đầu😡😠",2024-03-19 14:18:47,Negative,"Why don't we let them learn English at home, but just force them to buy a lifetime membership and let the time not disappear? What's the point of not allowing them to learn? We don't want to buy a lifetime membership. We just have to force them to buy it. No one has free time to buy it. Who is free? After a while, we still have a lot of time to study. Who has free time to wait that long? We've waited for a few days and the time hasn't run out. If we don't want people to learn, just say something. When the time is up, it will come back.head😡😠"
5d2a5754-cca4-4531-b6f1-995f7ba65829,008,1,tôi thật sự là ko thích về app này vì tôi học như nào mà đến phần học thứ hai lại ko nhấn đc nx 1 sao,2024-03-01 14:26:14,Negative,I really don't like this app because I don't know how to learn but in the second part I can't press the button. 1 star
159c5e51-2810-4be6-bc0c-198bc4cee141,008,1,"tưởng app họ miễn phí, ai dè phải trả tiền. lí do học qua app là không có tiền học trực tiếp, biết vậy không tải.",2024-01-07 16:21:31,Negative,"I thought the learning app was free, but who didn't have to pay?The reason for studying through the app is that I don't have money to study directly, so I don't download it if I know that."
e811ec72-a7fb-4b30-bbc7-7b2083c69a85,008,1,đã đăng ký gói tháng. khj không còn nhu cầu thì không thể hủy. hướng dẫn hủy subscription không đúng. vẫn trừ tiền hàng tháng. trải nghiệm tệ. có ai support cho tôi không?,2024-01-02 07:04:33,Negative,"subscribed to the monthly package.If you no longer need it, you cannot cancel it.Instructions to cancel subscription are incorrect.Still deducted monthly.bad experience.Does anyone support me?"
6492f489-fb07-4720-8e20-7e161ab56682,008,2,mình đã vào học thử tiếng pháp nhưng chỉ học được 1 unit còn unit 2 trở đi bắt phải trả phí thì mới học được,2023-12-22 15:19:01,Negative,"I tried to learn French but I could only learn 1 unit, and for units 2 and above, I had to pay a fee to learn it."
a7cdf393-7148-4d99-a16f-2b9175136a45,008,2,"nó không chuyển sang bài khác được với cả là nó cứ bắt nạp tiền thôi , không nên tải app học tiếng hàn này:((",2023-11-21 15:28:06,Negative,"It can't move to another lesson and it just keeps asking for money, don't download this Korean learning app :(("
0f876840-a6e4-44fd-8002-90029709ab71,008,1,"học 1 bài xong bắt trả tiền đắt cắt cổ để học bài 2, thế xoá cmn app luôn đi cho rồi 🙂 đầy app cho học hết khoá mà không cần trả tiền (duolingo để bản cao cấp riêng chẳng hạn)",2023-08-06 07:35:48,Negative,"After taking 1 lesson, you have to pay exorbitant money to take lesson 2, so just delete the app and leave 🙂 There are many apps that let you study the entire course without having to pay (for example, Duolingo has a separate premium version)."
